,m.ss.yi,m.ss.ch.nm,m.ta,m.th,m.res.1x2,m.res.bts,m.odds.f.1x2.f.v.med,m.odds.f.1x2.m.v.med,m.odds.f.1x2.u.v.med,m.odds.f.1x2.f.c,m.odds.f.1x2.m.c,m.odds.f.1x2.u.c,m.odds.f.bts.f.v.med,m.odds.f.bts.u.v.med,m.odds.f.bts.f.c,m.odds.f.bts.u.c,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med,m.odds.s.bts.y.t.med,m.odds.s.bts.n.t.med
34633,2015,Netherlands A,Den Haag,Ajax,h,n,1.36,4.75,8.05,h,d,a,1.835,1.905,y,n,0.6913,0.1951,0.1145,0.5073,0.4927
34634,2016,France A,Nice,Lyon,d,y,1.32,5.79,8.0,h,d,a,1.5,2.5,y,n,0.716,0.163,0.1181,0.6286,0.3714
34635,2015,Netherlands A,Roda,AZ Alkmaar,a,n,1.57,4.1,5.15,h,d,a,1.605,2.2,y,n,0.5902,0.2273,0.1826,0.5752,0.4248
34636,2016,France A,Bastia,Marseille,h,n,1.33,5.5,8.8,h,d,a,1.74,2.0,y,n,0.7175,0.1729,0.106,0.5345,0.4655
34637,2015,Netherlands A,Feyenoord,PSV,h,y,1.8,3.73,4.1,h,d,a,1.55,2.32,y,n,0.5204,0.2509,0.2282,0.6,0.4
34638,2016,France A,St Etienne,Nancy,h,y,1.8,3.75,4.25,h,d,a,1.76,1.975,y,n,0.5255,0.2537,0.2176,0.527,0.473
34639,2015,Netherlands A,Cambuur,Vitesse,h,y,1.4,4.75,7.0,h,d,a,1.685,2.075,y,n,0.6696,0.1969,0.1346,0.5512,0.4488
34640,2016,France A,Caen,Paris SG,d,y,1.14,8.75,16.0,h,d,a,1.705,2.045,y,n,0.8298,0.1081,0.0594,0.5457,0.4543
34641,2015,Netherlands A,Graafschap,Excelsior,h,n,1.675,3.825,4.59,h,d,a,1.655,2.1,y,n,0.5603,0.239,0.2022,0.5593,0.4407
34642,2016,France A,Monaco,Rennes,a,y,2.02,3.3,3.8,a,h,d,1.45,2.55,y,n,0.2833,0.2493,0.4675,0.6398,0.3602
34643,2015,Netherlands A,Zwolle,Heerenveen,d,y,1.75,3.8,4.2,h,d,a,1.55,2.325,y,n,0.5344,0.2437,0.2236,0.6008,0.3992
34644,2016,France A,Dijon,Toulouse,d,n,2.35,3.1,3.2,h,d,a,1.6,2.2,y,n,0.4012,0.3029,0.2981,0.5836,0.4164
34645,2016,France A,St Etienne,Monaco,h,n,1.14,8.4,17.0,h,d,a,1.76,1.95,y,n,0.8284,0.1121,0.0566,0.527,0.473
34646,2015,Netherlands A,Twente,Heracles,h,n,2.325,2.8,3.5,h,a,d,1.45,2.55,y,n,0.4035,0.2639,0.3365,0.6352,0.3648
34647,2016,France A,Lorient,Bastia,h,n,2.0,3.5,3.6,a,d,h,1.7,2.035,y,n,0.2599,0.2691,0.4701,0.545,0.455
34648,2015,Netherlands A,Groningen,Utrecht,h,n,2.04,3.39,3.5,h,a,d,1.58,2.25,y,n,0.4574,0.2635,0.2755,0.5879,0.4121
34649,2016,France A,Marseille,Bordeaux,d,y,2.36,2.9,3.4,h,a,d,1.5,2.4,y,n,0.3987,0.2758,0.3239,0.6154,0.3846
34650,2015,Netherlands A,Nijmegen,Willem II,a,n,1.88,3.5,4.0,h,d,a,1.725,2.0,y,n,0.4986,0.2675,0.2342,0.5352,0.4648
34651,2016,France A,Rennes,Caen,a,n,1.7,3.65,5.0,h,d,a,1.83,1.91,n,y,0.5538,0.2593,0.1883,0.4908,0.5092
34652,2015,Netherlands A,Willem II,AZ Alkmaar,d,n,2.025,3.36,3.585,h,a,d,1.57,2.25,y,n,0.4611,0.2606,0.2763,0.589,0.41100000000000003
34653,2016,France A,Nancy,Dijon,h,n,2.0,3.3,3.8,h,d,a,1.8,1.92,y,n,0.4699,0.2834,0.2446,0.5197,0.4803
34654,2015,Netherlands A,Utrecht,Den Haag,d,y,2.2,3.01,3.5,h,a,d,1.53,2.315,y,n,0.4261,0.2661,0.3086,0.6044,0.3956
34655,2016,France A,Toulouse,Metz,d,y,2.65,2.7,3.25,h,a,d,1.65,2.14,y,n,0.3561,0.2923,0.3523,0.5663,0.4337
34656,2015,Netherlands A,Vitesse,Feyenoord,h,n,1.65,4.0,4.7,h,d,a,1.6,2.2,y,n,0.5682,0.2306,0.1985,0.5789,0.4211
34657,2016,France A,Lille,Monaco,h,n,1.13,8.9,17.0,h,d,a,1.8,1.92,n,y,0.8336,0.1065,0.0554,0.4857,0.5143
34658,2015,Netherlands A,Ajax,Nijmegen,a,n,1.66,3.8,4.7,a,d,h,1.745,2.0,y,n,0.198,0.2447,0.5623,0.5333,0.4667
34659,2016,France A,Lyon,Montpellier,a,y,2.0,3.5,3.6,a,h,d,1.4,2.75,y,n,0.2689,0.2608,0.4701,0.6627,0.3373
34660,2015,Netherlands A,Twente,Zwolle,h,y,2.455,2.65,3.425,h,a,d,1.53,2.37,y,n,0.3775,0.2685,0.3508,0.6072,0.3928
34661,2016,France A,Guingamp,Nantes,h,y,2.0,3.4,3.75,h,d,a,1.71,2.05,y,n,0.4689,0.2791,0.2524,0.545,0.455
34662,2015,Netherlands A,Heracles,Cambuur,a,y,2.15,3.0,3.65,h,a,d,1.5,2.45,y,n,0.4337,0.2555,0.3107,0.6172,0.3828
34663,2016,France A,Angers,Nice,a,n,1.69,3.86,4.85,h,d,a,1.71,2.05,y,n,0.5597,0.2438,0.195,0.544,0.456
34664,2015,Netherlands A,PSV,Heerenveen,d,y,1.78,3.85,4.0,a,d,h,1.5,2.4,y,n,0.2332,0.242,0.5257,0.6154,0.3846
34665,2016,France A,Paris SG,St Etienne,a,n,1.4,4.85,7.5,a,d,h,1.71,2.0,y,n,0.1266,0.1943,0.6682,0.5391,0.4609
34666,2015,Netherlands A,Graafschap,Roda,h,n,1.74,3.8,4.3,h,d,a,1.615,2.16,y,n,0.5372,0.2442,0.2195,0.5731,0.4269
34667,2016,France A,Nantes,Lyon,h,y,1.53,4.33,5.7,h,d,a,1.62,2.2,y,n,0.6172,0.2166,0.1656,0.5769,0.4231
34668,2015,Netherlands A,Excelsior,Groningen,h,n,1.65,3.95,4.8,h,d,a,1.65,2.15,y,n,0.5704,0.2358,0.1969,0.5628,0.4372
34669,2016,France A,Nice,Marseille,h,y,1.95,3.6,3.7,h,d,a,1.57,2.25,y,n,0.4829,0.2622,0.2549,0.589,0.41100000000000003
34670,2015,Netherlands A,Feyenoord,Cambuur,a,n,1.91,3.6,3.6,a,d,h,1.62,2.2,y,n,0.2555,0.2565,0.4865,0.5720000000000001,0.428
