,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
23440,d,n,Portugal A,2016,Feirense,Nacional,h,2.1219,d,3.0654,a,3.7196,n,1.7095,y,2.0595,0.4427,0.3066,0.252
23441,h,n,Italy A,2015,Genoa,Chievo,a,2.64,h,2.9212,d,3.0058,n,1.73,y,2.01,0.3229,0.3179,0.3594
23442,d,y,Portugal A,2016,Braga,Setubal,a,2.4796,d,2.9588,h,3.0646,n,1.6689,y,2.1263,0.3056,0.3155,0.3759
23443,a,n,Portugal A,2016,Sporting,Estoril,a,1.3962,d,4.4338,h,8.1677,n,1.6326,y,2.1889,0.115,0.2137,0.67
23444,h,n,Italy A,2015,Inter,Juventus,h,1.5512,d,3.7292,a,7.2465,n,1.6379,y,2.1593,0.6148,0.2553,0.1283
23445,d,n,Portugal A,2016,Ferreira,Rio Ave,h,1.8062,d,3.3415,a,4.7119,n,1.6905,y,2.09,0.5211,0.2808,0.198
23446,d,y,Portugal A,2016,Maritimo,Tondela,a,2.6942,h,2.7604,d,2.9985,n,1.7453,y,2.0126,0.3381,0.314,0.3499
23447,d,n,Italy A,2015,Bologna,Palermo,a,2.5619,h,2.8546,d,3.2012,y,1.744,n,2.0053,0.3279,0.2959,0.3746
23448,h,y,Portugal A,2016,Chaves,Benfica,h,1.1885,d,6.3938,a,15.1808,n,1.5174,y,2.4316,0.7914,0.1462,0.0608
23449,h,n,Portugal A,2016,Moreirense,Guimaraes,h,1.7719,d,3.3962,a,4.8042,n,1.7416,y,2.0216,0.5271,0.276,0.1928
23450,h,n,Italy A,2015,Frosinone,Sampdoria,h,1.5173,d,4.0308,a,6.8688,n,1.7947,y,1.9353,0.6292,0.2353,0.1356
23451,d,n,Portugal A,2016,Nacional,Maritimo,h,1.7369,d,3.4296,a,4.9969,n,1.6605,y,2.1395,0.5407,0.2734,0.1868
23452,h,n,Italy A,2015,Verona,Udinese,h,1.8992,d,3.5431,a,4.0665,y,1.7027,n,2.0547,0.4999,0.267,0.2334
23453,d,y,Portugal A,2016,Guimaraes,Belenenses,a,2.5104,d,2.9512,h,3.0352,n,1.745,y,2.0161,0.3068,0.318,0.3739
23454,a,n,Portugal A,2016,Benfica,Braga,a,1.7528,d,3.5568,h,4.6416,n,1.855,y,1.8883,0.19899999999999998,0.2617,0.5376
23455,h,n,Italy A,2015,Torino,AC Milan,h,1.8769,d,3.3992,a,4.4596,n,1.8359999999999999,y,1.8927,0.5024,0.2807,0.2158
23456,h,y,Portugal A,2016,Setubal,Ferreira,h,2.5863,d,2.9113,a,2.9642,n,1.6653,y,2.1224,0.3595,0.3214,0.3195
23457,h,n,Portugal A,2016,Arouca,Chaves,h,2.1904,d,3.0556,a,3.5452,n,1.7178,y,2.0583,0.4257,0.3051,0.2643
23458,a,y,Italy A,2015,AS Roma,Empoli,a,2.0288,d,3.3024,h,3.8904,y,1.7764,n,1.9586,0.2446,0.2894,0.4652
23459,a,n,Portugal A,2016,Boavista,Feirense,h,2.6792,d,2.8529,a,2.9246,n,1.6518,y,2.1553,0.3487,0.3284,0.3214
23460,d,y,Portugal A,2016,Estoril,Moreirense,h,1.96,d,3.2552,a,4.006,n,1.7044,y,2.0678,0.4822,0.2883,0.2335
23461,h,n,Portugal A,2016,Rio Ave,Sporting,h,1.3408,d,4.7576,a,9.1792,n,1.6911,y,2.0911,0.701,0.1966,0.1024
23462,d,y,Italy A,2015,AC Milan,Napoli,h,1.5504,d,4.004,a,6.3496,y,1.858,n,1.864,0.6141,0.2354,0.1483
23463,h,n,Portugal A,2016,Tondela,FC Porto,h,1.1176,d,7.9732,a,23.5208,n,1.3961,y,2.8317,0.8335,0.1176,0.0409
23464,h,n,Italy A,2015,Palermo,AS Roma,h,1.2844,d,5.666,a,10.3732,n,1.8286,y,1.9,0.7428,0.1656,0.0907
23465,d,n,Portugal A,2016,Maritimo,Rio Ave,h,2.0642,d,3.0781,a,3.8888,n,1.6732,y,2.1163,0.4545,0.3037,0.2424
23466,d,y,Portugal A,2016,Braga,Boavista,a,2.4608,d,2.9558,h,3.1204,n,1.6537,y,2.1453,0.3022,0.3171,0.38
23467,a,y,Italy A,2015,Fiorentina,Atalanta,a,2.1987,d,3.1817,h,3.4992,n,1.7786,y,1.9493,0.2722,0.2976,0.4305
23468,a,y,Portugal A,2016,Sporting,Moreirense,a,1.5081,d,3.9146,h,6.7781,n,1.6763,y,2.1095,0.1368,0.2381,0.6248
23469,d,y,Portugal A,2016,Belenenses,Nacional,h,2.2992,d,3.0812,a,3.2688,n,1.7361,y,2.0217,0.4095,0.3045,0.2864
23470,d,n,Italy A,2015,Lazio,Frosinone,a,1.4712,d,4.2616,h,7.2704,n,1.8029,y,1.9429,0.1263,0.2213,0.6528
23471,h,y,Portugal A,2016,Ferreira,Estoril,h,2.4919,d,2.9665,a,3.0446,n,1.7211,y,2.0411,0.3746,0.3156,0.3058
23472,a,n,Portugal A,2016,FC Porto,Guimaraes,a,1.5042,d,3.9927,h,6.6212,n,1.6953,y,2.0879,0.1398,0.2349,0.6248
23473,h,y,Italy A,2015,Udinese,Genoa,h,2.032,d,3.1904,a,4.026,n,1.7379,y,1.9921,0.4666,0.2975,0.2356
23474,d,n,Portugal A,2016,Chaves,Setubal,h,2.3708,d,2.9096,a,3.3224,n,1.6483,y,2.1583,0.3958,0.3185,0.28
23475,a,n,Portugal A,2016,Feirense,Tondela,h,2.3169,d,3.0442,a,3.2708,n,1.7326,y,2.0247,0.4055,0.309,0.2858
23476,h,y,Italy A,2015,Empoli,Sassuolo,h,2.0904,d,3.2112,a,3.7632,y,1.8514,n,1.8836,0.4533,0.2939,0.2527
23477,h,n,Portugal A,2016,Arouca,Benfica,h,1.1758,d,6.7777,a,15.7058,n,1.6905,y,2.0889,0.8029,0.1381,0.0573
23478,d,y,Portugal A,2016,Estoril,Braga,h,1.4408,d,4.1356,a,7.7616,n,1.6026,y,2.2442,0.6494,0.2276,0.1226
23479,h,y,Portugal A,2016,Rio Ave,Feirense,a,2.5676,h,2.7971,d,3.1152,n,1.7275,y,2.0375,0.3388,0.2994,0.3609
23480,d,n,Italy A,2015,Carpi,Torino,h,1.6412,d,3.5772,a,5.9868,n,1.6564,y,2.1329,0.5769,0.2644,0.1581
23481,h,n,Portugal A,2016,Moreirense,Maritimo,h,2.0132,d,3.1892,a,3.9108,n,1.7353,y,2.0253,0.4675,0.2941,0.2386
23482,h,y,Portugal A,2016,Setubal,Arouca,h,2.4164,d,3.0064,a,3.1364,n,1.7221,y,2.0468,0.3895,0.3125,0.3032
23483,h,y,Italy A,2015,Sampdoria,Inter,h,1.51,d,4.1808,a,6.6056,y,1.8543,n,1.8764,0.6287,0.2264,0.1437
23484,d,n,Portugal A,2016,Tondela,Belenenses,h,1.9288,d,3.2584,a,4.1668,n,1.7221,y,2.0416,0.486,0.2877,0.22699999999999998
23485,h,n,Portugal A,2016,Nacional,Benfica,h,1.1308,d,7.8304,a,20.032,n,1.6032,y,2.2437,0.8277,0.1215,0.0455
23486,h,y,Italy A,2015,Chievo,Verona,h,2.4644,a,3.0404,d,3.1064,n,1.8336,y,1.9,0.3836,0.3043,0.3101
23487,d,n,Portugal A,2016,Boavista,Chaves,h,2.3176,d,2.9608,a,3.3676,n,1.6784,y,2.11,0.4055,0.3161,0.2784
23488,h,y,Portugal A,2016,Sporting,FC Porto,h,1.7012,d,3.596,a,5.0604,n,1.7547,y,2.0,0.5545,0.2607,0.1862
23489,d,n,Italy A,2015,Juventus,Bologna,a,1.5784,d,3.5852,h,7.1344,n,1.5529,y,2.3329,0.131,0.2648,0.6023
