,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med
9089,h,n,England A,2006,Manchester City,Chelsea,h,1.2044,d,5.3956,a,12.72,,,,,0.7586,0.1681,0.0727
9090,a,y,England A,2014,Southampton,West Ham,a,2.3639,h,3.0913,d,3.2748,y,1.7686,n,1.9286,0.3035,0.2897,0.405
9091,h,y,England A,2006,Fulham,Manchester United,h,1.2570000000000001,d,4.936,a,10.944,,,,,0.7304,0.1855,0.0868
9092,d,y,England A,2006,Aston Villa,Arsenal,h,1.2822,d,4.6967,a,10.7967,,,,,0.72,0.1955,0.0844
9093,h,y,England A,2014,Liverpool,Manchester City,h,1.8362,d,3.8033,a,4.155,y,1.5307,n,2.3379,0.5214,0.2502,0.2286
9094,h,n,England A,2006,Tottenham,Bolton,a,2.5475,h,2.6188,d,3.1562,,,,,0.3458,0.2886,0.3632
9095,d,y,England A,2014,Stoke,Hull City,h,2.4476,a,3.0908,d,3.1356,n,1.6827,y,2.0553,0.3875,0.3039,0.3102
9096,h,y,England A,2006,Watford,Everton,h,1.62,d,3.4410000000000003,a,5.489,,,,,0.5677,0.2656,0.1703
9097,d,y,England A,2014,Manchester United,Sunderland,a,1.6388,d,3.9952,h,5.2972,y,1.8219999999999998,n,1.8867,0.1814,0.2381,0.583
9098,h,n,England A,2014,QPR,Tottenham,h,1.5564,d,4.0976,a,6.176,y,1.8467,n,1.8473,0.612,0.2332,0.1564
9099,h,y,England A,2006,Wigan,Newcastle,h,1.6978,d,3.3967,a,4.8556,,,,,0.5435,0.2713,0.1867
9100,d,n,England A,2014,Newcastle,Aston Villa,h,2.5558,a,2.8608,d,3.2408,y,1.8207,n,1.8836,0.3726,0.2949,0.3306
9101,h,n,England A,2014,Leicester,Chelsea,h,1.1929,d,6.7737,a,15.655,n,1.6393,y,2.1193,0.7992,0.1374,0.06
9102,a,y,England A,2014,West Ham,Crystal Palace,h,2.4967,a,2.9271,d,3.2342,y,1.8343,n,1.86,0.3809,0.2922,0.3251
9103,h,n,England A,2006,Blackburn,Portsmouth,h,2.3645,a,2.8673,d,3.1736,,,,,0.3891,0.2894,0.3215
9104,d,y,England A,2014,Arsenal,Everton,h,2.6408,a,2.728,d,3.3160000000000003,y,1.6393,n,2.116,0.3614,0.2866,0.3474
9105,h,y,England A,2006,Middlesbrough,Reading,h,2.2538,a,2.9363,d,3.2275,,,,,0.4059,0.2837,0.3087
9106,d,n,England A,2014,West Brom,Southampton,h,1.6983,d,3.795,a,5.0617,y,1.7543,n,1.9521,0.5664,0.25,0.1871
9107,h,n,England A,2014,Burnley,Swansea,h,1.6742,d,3.7454,a,5.3729,y,1.8121,n,1.8757,0.5694,0.2507,0.1758
9108,d,y,England A,2006,Liverpool,Sheffield Utd,a,1.52,d,3.5688,h,6.55,,,,,0.1372,0.2548,0.6098
9109,h,y,England A,2006,Charlton,West Ham,h,2.0043,d,3.1557,a,3.6414,,,,,0.4633,0.2896,0.2482
9110,a,y,England A,2014,Chelsea,Burnley,a,1.3843,d,4.7313,h,8.5948,n,1.6657,y,2.0621,0.1073,0.2,0.6927
9111,h,y,England A,2014,Southampton,Liverpool,h,1.3917,d,4.7083,a,8.2178,y,1.8027,n,1.8967,0.6839,0.2026,0.1157
9112,a,n,England A,2014,Manchester City,Newcastle,a,1.6221,d,4.0433,h,5.3012,y,1.6713,n,2.0727,0.1766,0.2355,0.589
9113,h,y,England A,2014,Crystal Palace,Arsenal,h,1.2826,d,5.5604,a,10.7996,n,1.64,y,2.1367,0.7413,0.1694,0.0888
9114,d,y,England A,2014,Everton,Leicester,a,2.3905,h,2.9827,d,3.3355,y,1.7021,n,2.0307,0.3194,0.2842,0.3969
9115,a,y,England A,2014,Swansea,Manchester United,h,1.4173,d,4.6577,a,7.5964,n,1.8014,y,1.8893,0.6662,0.2047,0.127
9116,a,n,England A,2014,Hull City,QPR,h,2.325,d,3.1723,a,3.2659,n,1.7557,y,1.9507,0.4097,0.3002,0.2876
9117,a,n,England A,2014,Aston Villa,Stoke,h,1.9273,d,3.3255,a,4.3177,n,1.7179,y,2.0029,0.4941,0.2868,0.2173
9118,d,y,England A,2014,Sunderland,West Brom,h,2.0818,d,3.3191,a,3.6995,n,1.7971,y,1.9014,0.4564,0.2844,0.2531
9119,a,n,England A,2014,Tottenham,West Ham,a,2.0445,d,3.48,h,3.6523,y,1.7193,n,1.9857,0.2591,0.2735,0.4665
9120,d,y,Brazil A,2013,Vitoria,Atletico-MG,h,1.9479,d,3.4579,a,3.5642,y,1.6667,n,2.08,0.4711,0.2668,0.2565
9121,h,y,Brazil A,2013,Vasco,Atletico-PR,h,1.8929,d,3.4633,a,3.7404,y,1.7525,n,1.9567,0.4894,0.2644,0.2429
9122,a,y,Brazil A,2013,Fluminense,Bahia,a,1.8926,d,3.367,h,3.9035,n,1.7533,y,1.9583,0.2362,0.2737,0.4895
9123,h,n,Brazil A,2013,Criciuma,Botafogo RJ,h,1.5683,d,3.8179,a,5.4317,y,1.7192,n,1.9975,0.5909,0.2395,0.1666
9124,a,n,Brazil A,2013,Santos,Goias,h,1.4758,d,4.0454,a,6.3208,n,1.8242,y,1.885,0.6286,0.2276,0.1436
9125,d,n,Brazil A,2013,Ponte Preta,Internacional,h,1.2167,d,5.6967,a,11.9658,n,1.4927,y,2.4345,0.7583,0.1594,0.0769
9126,d,n,Brazil A,2013,Gremio,Portuguesa,h,2.6546,a,2.6692,d,2.9904,n,1.8125,y,1.8783,0.349,0.3071,0.3408
9127,a,n,Brazil A,2013,Coritiba,Sao Paulo,a,2.3991,h,2.7478,d,3.3169999999999997,y,1.7775,n,1.9233,0.3328,0.2797,0.3854
9128,d,y,Brazil A,2013,Cruzeiro,Flamengo RJ,h,1.8633,d,3.4058,a,3.9258,y,1.6617,n,2.0825,0.4951,0.2712,0.2384
9129,h,n,Brazil A,2013,Corinthians,Nautico,a,1.8938,d,3.3196,h,3.9646,n,1.7633,y,1.9425,0.2296,0.2764,0.4952
9130,d,n,Brazil A,2013,Internacional,Corinthians,h,2.4083,a,2.9726,d,3.0174,n,1.6836,y,2.0357,0.3806,0.3113,0.3097
9131,h,y,Brazil A,2013,Botafogo RJ,Coritiba,h,2.2561,a,3.0326,d,3.2174,y,1.7892,n,1.9023,0.4093,0.2867,0.3046
9132,h,n,Brazil A,2013,Sao Paulo,Criciuma,h,1.9704,d,3.323,a,3.6404,y,1.6646,n,2.0623,0.4812,0.2777,0.2429
9133,a,y,Brazil A,2013,Bahia,Cruzeiro,h,1.5078,d,3.9735,a,5.8809,y,1.8064,n,1.8843,0.6086,0.2305,0.1574
9134,h,n,Brazil A,2013,Goias,Gremio,h,1.7443,d,3.3978,a,4.6583,n,1.7077,y,2.0038,0.5277,0.2723,0.1969
9135,a,n,Brazil A,2013,Portuguesa,Ponte Preta,a,1.7077,d,3.5677,h,4.5932,n,1.8386,y,1.8479,0.1998,0.257,0.5422
9136,h,y,Brazil A,2013,Atletico-PR,Santos,a,2.2413,h,3.0574,d,3.1983,y,1.7285,n,1.9792,0.2975,0.289,0.4131
9137,h,n,Brazil A,2013,Nautico,Vasco,h,1.1735,d,6.4439,a,13.4239,n,1.6523,y,2.0815,0.7855,0.1415,0.0656
9138,h,y,Brazil A,2013,Flamengo RJ,Vitoria,h,1.5913,d,3.7291,a,5.2848,n,1.7992,y,1.8838,0.5766,0.2464,0.1756
9139,d,y,Brazil A,2013,Atletico-MG,Fluminense,h,1.673,d,3.5348,a,4.8965,n,1.8036,y,1.8729,0.5435,0.2621,0.1904
9140,h,y,Brazil A,2013,Goias,Atletico-MG,h,2.1012,d,3.2375,a,3.3554,y,1.8021,n,1.8936,0.4375,0.2874,0.2763
9141,h,y,Brazil A,2013,Nautico,Atletico-PR,h,1.2204,d,5.8538,a,10.9471,n,1.7136,y,1.995,0.7581,0.1584,0.0865
9142,h,n,Brazil A,2013,Portuguesa,Bahia,h,2.1442,d,3.1938,a,3.2904,n,1.76,y,1.9286,0.4295,0.2871,0.2822
9143,h,n,Brazil A,2013,Corinthians,Flamengo RJ,h,2.5112,a,2.8517,d,2.9833,n,1.6321,y,2.1086,0.3672,0.3064,0.3236
9144,d,n,Brazil A,2013,Coritiba,Internacional,h,1.7425,d,3.5038,a,4.485,y,1.7986,n,1.895,0.5251,0.2624,0.2074
9145,d,y,Brazil A,2013,Gremio,Ponte Preta,a,2.1575,d,3.2121,h,3.2475,n,1.7343,y,1.9536,0.2836,0.2867,0.4313
9146,h,n,Brazil A,2013,Fluminense,Santos,a,2.3875,h,2.8621,d,3.1942,y,1.7736,n,1.915,0.3244,0.2895,0.3864
9147,d,y,Brazil A,2013,Botafogo RJ,Sao Paulo,a,2.43,h,2.7563,d,3.2371,y,1.7429,n,1.9564,0.3341,0.2861,0.3805
9148,d,y,Brazil A,2013,Vitoria,Criciuma,h,2.2788,a,2.9671,d,3.2538,y,1.61,n,2.1586,0.4059,0.2843,0.3085
9149,h,y,Brazil A,2013,Cruzeiro,Vasco,h,1.7779,d,3.5758,a,4.1425,y,1.6843,n,2.0329,0.5204,0.257,0.2223
9150,d,n,Brazil A,2013,Vasco,Corinthians,h,1.8379,d,3.2258,a,4.3775,n,1.6062,y,2.1638,0.5072,0.2868,0.2134
9151,a,y,Brazil A,2013,Criciuma,Coritiba,h,1.6613,d,3.5363,a,5.0137,n,1.8385,y,1.84,0.5548,0.2612,0.1834
9152,d,y,Brazil A,2013,Ponte Preta,Cruzeiro,h,1.575,d,3.7917,a,5.4392,y,1.7815,n,1.9192,0.588,0.2437,0.1681
9153,h,y,Brazil A,2013,Sao Paulo,Fluminense,h,1.6288,d,3.5617,a,5.28,n,1.6815,y,2.0408,0.5666,0.2591,0.1758
9154,h,y,Brazil A,2013,Internacional,Goias,h,1.7704,d,3.4413,a,4.3917,y,1.8008,n,1.8854,0.525,0.2684,0.2104
9155,h,y,Brazil A,2013,Flamengo RJ,Gremio,h,1.4312,d,3.97,a,7.5408,n,1.5331,y,2.3,0.6453,0.2329,0.1227
9156,a,n,Brazil A,2013,Bahia,Nautico,a,1.9579,d,3.3,h,3.6754,n,1.8,y,1.8785,0.25,0.2791,0.4698
9157,h,n,Brazil A,2013,Atletico-MG,Portuguesa,h,2.1475,a,3.24,d,3.2417,y,1.8238,n,1.8546,0.431,0.2847,0.2815
9158,h,n,Brazil A,2013,Santos,Vitoria,h,1.9925,d,3.2779,a,3.6333,y,1.7492,n,1.9523,0.4664,0.2806,0.254
9159,h,n,Brazil A,2013,Atletico-PR,Botafogo RJ,h,1.8967,d,3.3517,a,3.8583,y,1.7615,n,1.9308,0.4852,0.27699999999999997,0.2386
9160,h,y,Brazil A,2013,Internacional,Atletico-MG,h,1.7557,d,3.4043,a,4.5152,n,1.7633,y,1.9317,0.5248,0.2708,0.2002
9161,h,n,Brazil A,2013,Nautico,Fluminense,h,1.2363,d,5.4829,a,10.7429,n,1.6354,y,2.1077,0.7466,0.1674,0.0868
9162,d,n,Brazil A,2013,Portuguesa,Botafogo RJ,h,1.5721,d,3.8013,a,5.4467,y,1.8077,n,1.8838,0.5872,0.2422,0.1727
9163,a,n,Brazil A,2013,Corinthians,Coritiba,h,2.3877,d,2.9936,a,3.0273,n,1.6269,y,2.1277,0.3847,0.3077,0.306
9164,h,y,Brazil A,2013,Atletico-PR,Criciuma,h,2.1075,a,3.2496,d,3.325,y,1.6815,n,2.0354,0.4399,0.2789,0.2843
9165,h,n,Brazil A,2013,Bahia,Santos,h,1.825,d,3.3483,a,4.1808,n,1.7769,y,1.9169,0.5066,0.2742,0.22
9166,h,n,Brazil A,2013,Flamengo RJ,Sao Paulo,h,2.31,a,3.0132,d,3.1532,n,1.7985,y,1.8823,0.3967,0.2931,0.3077
9167,a,y,Brazil A,2013,Cruzeiro,Vitoria,h,2.4532,a,2.7236,d,3.2327,y,1.6631,n,2.0585,0.3769,0.28600000000000003,0.3387
9168,h,n,Brazil A,2013,Ponte Preta,Goias,h,1.5917,d,3.7239,a,5.3229999999999995,n,1.8092,y,1.8575,0.5782,0.2495,0.1744
9169,h,n,Brazil A,2013,Vasco,Gremio,h,1.7288,d,3.4408,a,4.6621,n,1.7192,y,1.9838,0.5315,0.2677,0.1958
9170,h,n,Brazil A,2013,Sao Paulo,Atletico-PR,h,2.3512,a,2.9258,d,3.1733,n,1.8269,y,1.8608,0.3966,0.2931,0.3092
9171,h,n,Brazil A,2013,Fluminense,Corinthians,h,2.3208,d,3.0521,a,3.0871,n,1.6815,y,2.0354,0.4005,0.3027,0.2971
9172,h,n,Brazil A,2013,Gremio,Cruzeiro,h,1.6304,d,3.5175,a,5.4525,n,1.66,y,2.0738,0.5662,0.265,0.1677
9173,d,y,Brazil A,2013,Goias,Flamengo RJ,h,2.2504,a,3.0704,d,3.2075,n,1.83,y,1.8608,0.4105,0.2893,0.3037
9174,h,y,Brazil A,2013,Botafogo RJ,Internacional,h,1.9637,d,3.3571,a,3.6125,y,1.7677,n,1.9285,0.4715,0.278,0.2523
9175,a,n,Brazil A,2013,Criciuma,Nautico,a,2.1479,h,3.14,d,3.3346,y,1.6538,n,2.0762,0.2926,0.2777,0.4308
9176,a,n,Brazil A,2013,Vitoria,Ponte Preta,h,2.2779,a,3.0237,d,3.1913,n,1.8277,y,1.8562,0.4067,0.2894,0.3032
9177,d,y,Brazil A,2013,Santos,Vasco,h,1.815,d,3.4812,a,4.0633,y,1.7977,n,1.8892,0.5102,0.2633,0.2234
9178,d,n,Brazil A,2013,Atletico-MG,Bahia,h,2.645,a,2.6504,d,3.0475,n,1.7331,y,1.9685,0.3516,0.306,0.3436
9179,d,n,Brazil A,2013,Coritiba,Portuguesa,h,2.0642,d,3.28,a,3.4154,y,1.7285,n,1.9731,0.4481,0.2814,0.2683
9180,h,n,Brazil A,2013,Nautico,Atletico-MG,h,1.2254,d,5.7871,a,10.8346,n,1.7062,y,2.0008,0.7509,0.1623,0.0863
9181,h,n,Brazil A,2013,Internacional,Atletico-PR,h,2.4179,a,2.8346,d,3.165,y,1.7446,n,1.9646,0.3821,0.2918,0.3254
9182,d,y,Brazil A,2013,Ponte Preta,Criciuma,h,2.0796,d,3.2608,a,3.3704,y,1.6885,n,2.0346,0.4447,0.2824,0.2706
9183,h,n,Brazil A,2013,Fluminense,Flamengo RJ,a,2.3938,h,2.905,d,3.1229,n,1.8362,y,1.8492,0.3179,0.2963,0.3855
9184,h,n,Brazil A,2013,Botafogo RJ,Goias,h,2.2642,a,3.0067,d,3.2396,y,1.6054,n,2.1592,0.4076,0.2866,0.3063
9185,d,n,Brazil A,2013,Bahia,Gremio,h,1.5242,d,3.6913,a,6.3362,n,1.5408,y,2.2923,0.606,0.2515,0.1441
9186,a,n,Brazil A,2013,Cruzeiro,Santos,a,2.3079,h,2.9496,d,3.225,y,1.6392,n,2.1085,0.3105,0.2861,0.3984
9187,d,y,Brazil A,2013,Corinthians,Vitoria,h,2.2779,d,3.0971,a,3.1275,n,1.6846,y,2.0392,0.405,0.2985,0.2985
9188,h,y,Brazil A,2013,Portuguesa,Sao Paulo,h,1.6592,d,3.6479,a,4.8829,y,1.7923,n,1.9046,0.5567,0.2546,0.1893
9189,h,y,Brazil A,2013,Coritiba,Vasco,h,1.9763,d,3.3146,a,3.6579,y,1.7362,n,1.9631,0.4683,0.2774,0.2523
9190,d,y,Brazil A,2013,Atletico-PR,Bahia,h,2.1942,d,3.1404,a,3.26,n,1.77,y,1.9215,0.4212,0.2943,0.2819
9191,d,y,Brazil A,2013,Santos,Corinthians,h,2.1488,d,3.1354,a,3.3458,n,1.6723,y,2.0546,0.4279,0.2952,0.2754
9192,h,n,Brazil A,2013,Gremio,Coritiba,h,2.3891,d,2.9878,a,3.0365,n,1.6833,y,2.0392,0.3893,0.3113,0.2989
9193,a,y,Brazil A,2013,Vitoria,Fluminense,h,1.6958,d,3.5096,a,4.8529,n,1.7969,y,1.8969,0.5498,0.2629,0.1894
9194,a,y,Brazil A,2013,Sao Paulo,Internacional,h,1.9842,d,3.3013,a,3.6025,y,1.8262,n,1.8662,0.4635,0.2795,0.2568
9195,a,n,Brazil A,2013,Goias,Nautico,a,2.5054,h,2.6096,d,3.3188,y,1.5854,n,2.2054,0.3553,0.2792,0.366
9196,h,y,Brazil A,2013,Vasco,Ponte Preta,h,2.2779,a,3.0058,d,3.2217,y,1.7969,n,1.8946,0.4036,0.2882,0.3085
9197,d,n,Brazil A,2013,Flamengo RJ,Portuguesa,a,2.1763,h,3.1367,d,3.2875,y,1.7092,n,2.0031,0.2931,0.2813,0.4247
9198,h,n,Brazil A,2013,Atletico-MG,Botafogo RJ,h,2.2108,a,3.1146,d,3.2417,y,1.7569,n,1.9477,0.419,0.287,0.2986
9199,h,y,Brazil A,2013,Criciuma,Cruzeiro,h,1.3125,d,4.9204,a,8.5929,y,1.8062,n,1.8731,0.7001,0.1867,0.1127
9200,h,n,Brazil A,2013,Flamengo RJ,Atletico-MG,h,2.2017,a,3.1187,d,3.2392,y,1.7515,n,1.9454,0.42100000000000004,0.28600000000000003,0.2945
9201,a,n,Brazil A,2013,Sao Paulo,Bahia,a,2.41,h,2.8965,d,3.0891,n,1.6783,y,2.03,0.3155,0.2992,0.3838
9202,d,y,Brazil A,2013,Vasco,Botafogo RJ,h,2.1108,d,3.275,a,3.3296,y,1.6869,n,2.0277,0.4507,0.2799,0.272
9203,h,n,Brazil A,2013,Criciuma,Corinthians,h,1.6333,d,3.5775,a,5.3333,n,1.62,y,2.1323,0.5571,0.2618,0.1829
9204,h,y,Brazil A,2013,Cruzeiro,Coritiba,a,2.2875,h,3.0063,d,3.2163,y,1.7192,n,1.9869,0.3082,0.2888,0.4023
9205,h,n,Brazil A,2013,Atletico-PR,Goias,h,2.1621,a,3.1687,d,3.2796,y,1.7131,n,1.9908,0.4313,0.2818,0.2899
9206,d,y,Brazil A,2013,Gremio,Internacional,h,2.17,d,3.1425,a,3.2929,n,1.7085,y,2.0054,0.4227,0.2955,0.28
9207,d,y,Brazil A,2013,Vitoria,Portuguesa,h,1.9575,d,3.325,a,3.7067,y,1.64,n,2.1015,0.4683,0.2787,0.2503
9208,d,y,Brazil A,2013,Ponte Preta,Fluminense,h,1.7042,d,3.4704,a,4.8433,n,1.7469,y,1.9554,0.5442,0.2654,0.1909
9209,a,y,Brazil A,2013,Santos,Nautico,a,2.4042,h,2.8229,d,3.2183,y,1.7692,n,1.9223,0.3317,0.2875,0.3863
9210,a,n,Brazil A,2013,Goias,Vasco,h,2.1592,a,3.1383,d,3.3154,y,1.6515,n,2.0669,0.4257,0.2783,0.2947
9211,h,n,Brazil A,2013,Botafogo RJ,Vitoria,h,2.4683,a,2.7258,d,3.2296,y,1.6046,n,2.1669,0.3731,0.2839,0.3394
9212,h,n,Brazil A,2013,Atletico-MG,Atletico-PR,h,1.9779,d,3.3287,a,3.5925,y,1.7869,n,1.9046,0.4693,0.2776,0.2569
9213,a,y,Brazil A,2013,Portuguesa,Criciuma,h,2.0921,d,3.2758,a,3.3258,y,1.6223,n,2.12,0.4394,0.2808,0.2776
9214,h,n,Brazil A,2013,Fluminense,Cruzeiro,h,1.5,d,4.0658,a,5.8129,y,1.7985,n,1.8808,0.6143,0.22899999999999998,0.1587
9215,h,y,Brazil A,2013,Bahia,Flamengo RJ,h,1.5229,d,3.7379,a,6.3258,n,1.72,y,1.9854,0.6094,0.2475,0.1441
9216,h,n,Brazil A,2013,Corinthians,Gremio,h,2.0304,d,3.0692,a,3.7996,n,1.5631,y,2.2592,0.4534,0.2997,0.2445
9217,h,n,Brazil A,2013,Coritiba,Ponte Preta,h,2.0342,d,3.3121,a,3.45,n,1.8292,y,1.8585,0.4561,0.27699999999999997,0.2666
9218,d,n,Brazil A,2013,Internacional,Santos,h,2.4591,a,2.7555,d,3.205,y,1.72,n,1.9677,0.3758,0.287,0.3369
9219,h,n,Brazil A,2013,Nautico,Sao Paulo,h,1.2771,d,5.2329,a,9.1146,n,1.6908,y,2.0162,0.7195,0.1746,0.102
9220,h,n,Brazil A,2013,Cruzeiro,Atletico-MG,a,2.5208,h,2.6217,d,3.2783,y,1.6192,n,2.1338,0.3563,0.2807,0.3619
9221,h,n,Brazil A,2013,Portuguesa,Atletico-PR,h,1.6737,d,3.5692,a,4.9146,y,1.7223,n,1.9823,0.5516,0.2571,0.1889
9222,h,y,Brazil A,2013,Flamengo RJ,Botafogo RJ,h,2.5838,a,2.6258,d,3.1671,y,1.7562,n,1.9369,0.3592,0.289,0.3526
9223,h,y,Brazil A,2013,Vasco,Criciuma,h,2.355,a,2.8821,d,3.2154,y,1.6423,n,2.1008,0.3921,0.2871,0.321
9224,h,y,Brazil A,2013,Bahia,Goias,h,1.7508,d,3.4675,a,4.4975,n,1.6854,y,2.0285,0.5263,0.2648,0.2042
9225,h,y,Brazil A,2013,Nautico,Internacional,h,1.3092,d,4.875,a,8.7929,n,1.7277,y,1.9685,0.7044,0.1899,0.1042
9226,h,y,Brazil A,2013,Ponte Preta,Santos,h,1.9521,d,3.3012,a,3.705,y,1.8185,n,1.8731,0.4727,0.2805,0.2479
9227,d,n,Brazil A,2013,Corinthians,Sao Paulo,h,2.2383,d,3.0296,a,3.2563,n,1.6585,y,2.0708,0.4122,0.3042,0.2829
9228,d,y,Brazil A,2013,Gremio,Fluminense,h,2.1967,d,3.1025,a,3.2825,n,1.6954,y,2.0185,0.4208,0.29600000000000004,0.2833
9229,h,y,Brazil A,2013,Coritiba,Vitoria,h,1.9129,d,3.3021,a,3.8679,n,1.8385,y,1.8423,0.4828,0.27899999999999997,0.2383
9230,h,y,Brazil A,2013,Internacional,Flamengo RJ,h,2.2283,a,3.1457,d,3.1761,y,1.7415,n,1.96,0.4153,0.2895,0.2911
9231,a,y,Brazil A,2013,Goias,Portuguesa,h,1.6913,d,3.7152,a,4.54,y,1.7269,n,1.9738,0.5489999999999999,0.248,0.204
9232,h,n,Brazil A,2013,Vitoria,Bahia,h,2.5291,a,2.6891,d,3.1774,y,1.7754,n,1.9085,0.3626,0.29,0.3447
9233,d,n,Brazil A,2013,Atletico-PR,Corinthians,h,1.9681,d,3.2924,a,3.7052,n,1.77,y,1.9162,0.4705,0.2792,0.2499
9234,h,n,Brazil A,2013,Santos,Coritiba,h,2.1574,a,3.2296,d,3.2365,y,1.8254,n,1.8569,0.4299,0.284,0.2825
9235,a,n,Brazil A,2013,Sao Paulo,Cruzeiro,h,1.5019,d,3.9776,a,6.1305,y,1.7823,n,1.9085,0.6154,0.233,0.1523
9236,a,y,Brazil A,2013,Criciuma,Gremio,h,1.4552,d,4.0304,a,6.787000000000001,n,1.6915,y,2.02,0.6346,0.2287,0.1349
9237,a,y,Brazil A,2013,Botafogo RJ,Nautico,a,2.161,h,3.1414,d,3.321,y,1.6692,n,2.0554,0.2892,0.2788,0.4304
9238,h,n,Brazil A,2013,Atletico-MG,Ponte Preta,h,2.4735,a,2.7491,d,3.1752,n,1.8223,y,1.8462,0.3718,0.2913,0.3339
9239,h,n,Brazil A,2013,Fluminense,Vasco,a,2.48,h,2.7257,d,3.2038,y,1.7038,n,2.0054,0.3379,0.2886,0.3724
9240,d,n,Brazil A,2013,Corinthians,Atletico-MG,h,2.0308,d,3.2067,a,3.5658,n,1.6923,y,2.0223,0.4563,0.2859,0.2572
9241,h,y,Brazil A,2013,Coritiba,Atletico-PR,h,1.8742,d,3.285,a,4.0683,y,1.7869,n,1.9023,0.4959,0.2807,0.2239
9242,d,y,Brazil A,2013,Ponte Preta,Bahia,h,1.9375,d,3.2567,a,3.8217,n,1.7138,y,1.9923,0.4804,0.28,0.2381
9243,d,y,Brazil A,2013,Vasco,Flamengo RJ,h,2.1421,a,3.2379,d,3.2513,y,1.7446,n,1.9469,0.4333,0.2835,0.2835
9244,d,y,Brazil A,2013,Criciuma,Goias,h,1.61,d,3.6675,a,5.2179,y,1.8255,n,1.8755,0.5728,0.2493,0.179
9245,h,n,Brazil A,2013,Fluminense,Internacional,h,1.7625,d,3.4854,a,4.3829,y,1.8215,n,1.8608,0.5289,0.2652,0.2105
9246,a,y,Brazil A,2013,Cruzeiro,Nautico,a,1.6079,d,3.6679,h,5.2904,y,1.78,n,1.9046,0.1745,0.2526,0.5737
9247,h,n,Brazil A,2013,Santos,Portuguesa,h,2.2171,a,3.1029,d,3.2146,y,1.73,n,1.9677,0.4165,0.2867,0.2967
9248,h,y,Brazil A,2013,Vitoria,Sao Paulo,h,1.6454,d,3.6117,a,5.0404,n,1.7885,y,1.9038,0.5611,0.2558,0.1828
9249,a,n,Brazil A,2013,Gremio,Botafogo RJ,h,2.1408,d,3.2275,a,3.2508,n,1.8054,y,1.8946,0.4334,0.2839,0.2814
9250,h,y,Brazil A,2013,Internacional,Vasco,a,2.3009,h,2.9168,d,3.3018,y,1.7146,n,1.9938,0.3242,0.2761,0.3973
9251,h,n,Brazil A,2013,Ponte Preta,Atletico-MG,h,1.3408,d,4.6008,a,8.2917,n,1.7223,y,1.9831,0.6903,0.2035,0.1114
9252,h,n,Brazil A,2013,Bahia,Corinthians,h,1.6682,d,3.4295,a,5.1673,n,1.5546,y,2.2546,0.5524,0.2682,0.1786
9253,a,n,Brazil A,2013,Flamengo RJ,Coritiba,h,2.4795,a,2.8473,d,3.0482,n,1.84,y,1.8438,0.3677,0.3054,0.3269
9254,h,n,Brazil A,2013,Portuguesa,Cruzeiro,h,1.3746,d,4.385,a,7.6229,y,1.7546,n,1.9292,0.6669,0.2109,0.1211
9255,d,y,Brazil A,2013,Botafogo RJ,Fluminense,h,2.3479,a,2.9033,d,3.205,y,1.7885,n,1.8977,0.3945,0.28800000000000003,0.3208
9256,h,n,Brazil A,2013,Atletico-PR,Gremio,h,1.7713,d,3.4121,a,4.3738,n,1.7331,y,1.9662,0.5183,0.2704,0.2111
9257,h,n,Brazil A,2013,Sao Paulo,Santos,a,2.3623,h,2.8995,d,3.1627,n,1.7877,y,1.89,0.3122,0.2917,0.3921
9258,h,y,Brazil A,2013,Goias,Vitoria,h,1.9196,d,3.395,a,3.7413,y,1.8254,n,1.8623,0.4829,0.2739,0.2441
9259,a,y,Brazil A,2013,Nautico,Ponte Preta,h,1.5454,d,3.7008,a,5.9429,n,1.6577,y,2.0708,0.593,0.2486,0.1569
9260,h,y,Brazil A,2013,Santos,Atletico-MG,h,1.6667,d,3.6263,a,4.7771,n,1.8,y,1.8869,0.5489999999999999,0.2537,0.1954
9261,a,y,Brazil A,2013,Vitoria,Atletico-PR,h,1.5062,d,3.8821,a,6.0996,n,1.7754,y,1.9146,0.6135,0.2376,0.149
9262,d,n,Brazil A,2013,Vasco,Bahia,h,2.1812,a,3.1562,d,3.2337,y,1.8223,n,1.8638,0.42,0.2851,0.2939
9263,a,n,Brazil A,2013,Ponte Preta,Botafogo RJ,h,1.5292,d,3.8712,a,5.8113,n,1.8315,y,1.8554,0.6024,0.2392,0.1582
9264,h,y,Brazil A,2013,Criciuma,Flamengo RJ,h,1.5075,d,3.9396,a,6.0738,n,1.8323,y,1.8615,0.6166,0.2322,0.1537
9265,a,y,Brazil A,2013,Cruzeiro,Internacional,a,2.4575,h,2.7129,d,3.2367,y,1.7154,n,1.9931,0.3394,0.2846,0.3753
9266,h,n,Brazil A,2013,Corinthians,Portuguesa,a,1.9592,d,3.2312,h,3.8013,n,1.65,y,2.0854,0.2451,0.2862,0.467
